"crop","pest","pest_species","plant_stage","symptom_leaf_damage","symptom_yellowing","symptom_curling","symptom_spots","symptom_holes","symptom_wilting","pest_density","affected_area_percent","severity","economic_threshold","temperature","humidity","season","intervention","recommendation_class","active_ingredient","formulation","dose","application_method","symptom_text","evidence_type","source","source_date"
"Rice","Caterpillars","Scirpophaga incertulas","","1","0","0","0","0","1","","","","25% dead hearts; 2 egg masses/m2","","","","IPM / validated crop-specific control","stem_borer_management","Cartap hydrochloride","4G","1.0 kg a.i./ha","Granular application","Dead heart symptoms in vegetative stage and white ear symptoms during reproductive stage.","official agricultural extension","TNAU crop protection - rice stem borer",""
"Tomato","Caterpillars","Helicoverpa armigera","","1","0","0","0","1","0","","","","","","","","IPM / validated crop-specific control","fruit_borer_management","Profenophos","50 EC","2 ml/L","Foliar spray","Feeding damage on foliage and circular holes in fruits.","official agricultural extension","TNAU crop protection - tomato fruit borer",""
"Brinjal","Caterpillars","Leucinodes orbonalis","","1","0","0","0","1","1","","","","","","","","IPM / validated crop-specific control","shoot_fruit_borer_management","Emamectin benzoate","5% SG","4 g/10 L","Foliar spray","Terminal shoot withering, bore holes in shoots and fruits, and flower-bud shedding.","official agricultural extension","TNAU crop protection - brinjal shoot and fruit borer",""
"Okra","Caterpillars","Helicoverpa armigera","","1","0","0","0","1","0","","","","","","","","IPM / validated crop-specific control","fruit_borer_management","Carbaryl","50 WP","4 g/L","Foliar spray","Feeding damage to flowers and circular bore holes in fruits.","official agricultural extension","TNAU crop protection - okra fruit borer",""
"Rice","Grasshoppers","Hieroglyphus banian; Oxya nitidula","Seedling to panicle stage","1","0","0","0","0","0","5 per sweep","","","Approximately 5 grasshoppers per sweep or visible damage","","","","Integrated pest management; initiate chemical management when about 5 grasshoppers per sweep or visible damage is observed.","grasshopper_management","Chlorpyrifos","20 EC","500 ml/acre","Foliar spray","Irregular feeding on seedlings and leaf blades; leaf-edge consumption; severe infestations may cause defoliation leaving midribs.","official agricultural extension","TNAU Crop Protection - Rice Grasshopper",""
"Brinjal","Weevils","Myllocerus subfasciatus; Myllocerus discolor; Myllocerus viridanus","","1","0","0","0","0","1","","","","","","","","Integrated pest management","weevil_management","","","","","Adults cause notching of leaf margins; grubs feed on roots and may cause plant wilting.","official agricultural extension","TNAU Crop Protection - Brinjal Ash Weevils",""
"Okra","Weevils","Alcidodes affaber","","1","0","0","0","1","0","","","","","","","","Integrated pest management","shoot_weevil_management","","","","","Grubs feed in stems and form galls; adults feed on leaf buds and terminal shoots; bore holes may occur on shoots.","official agricultural extension","TNAU Crop Protection - Okra Shoot Weevil",""
"Cotton","Caterpillars","Cotton bollworms","Flowering to boll formation","1","0","0","0","1","0","","","","Use threshold-based IPM","","","","Integrated pest management for bollworms","bollworm_management","Spinosad","45 SC","75 g a.i./ha","Foliar spray","Caterpillar feeding damage and bollworm infestation in cotton.","official agricultural extension","APEDA FarmerConnect Integrated Pest Management",""
"Chickpea","Caterpillars","Helicoverpa armigera","Pre-flowering to pod formation","1","0","0","0","1","0","","","","Use threshold-based IPM","","","","Integrated pest management for gram pod borer","pod_borer_management","Bacillus thuringiensis var. kurstaki","Biological formulation","0.75-1.0 kg/ha","Foliar spray","Larval feeding damage on foliage and developing pods.","official agricultural extension","APEDA FarmerConnect Integrated Pest Management",""
"Groundnut","Caterpillars","Spodoptera and hairy caterpillars","Vegetative stage","1","0","0","0","1","0","","","","Use threshold-based IPM","","","","Integrated pest management for defoliating caterpillars","defoliator_management","Bacillus thuringiensis","Biological formulation","1.0 kg/ha","Foliar spray","Defoliation and feeding damage caused by caterpillar infestation.","official agricultural extension","APEDA FarmerConnect Integrated Pest Management",""
